flood_id,start_date,end_date,duration,total_rainfall,max_rainfall
295,2015-05-23,2015-05-23,1,11.611462,11.611462
296,2015-07-09,2015-07-09,1,13.574123,13.574123
297,2015-07-21,2015-07-21,1,17.33303,17.33303
298,2015-07-28,2015-07-28,1,25.209427,25.209427
299,2015-08-02,2015-08-02,1,13.094902,13.094902
300,2015-08-10,2015-08-11,2,39.326668,23.487568
301,2015-08-18,2015-08-18,1,19.349575,19.349575
302,2015-08-21,2015-08-21,1,22.824764,22.824764
303,2015-08-27,2015-08-27,1,12.611866,12.611866
304,2015-09-01,2015-09-02,2,30.561446999999998,18.32962
305,2015-09-06,2015-09-06,1,14.715195,14.715195
306,2015-09-18,2015-09-18,1,13.465881,13.465881
307,2015-09-21,2015-09-21,1,11.945248,11.945248
308,2015-10-21,2015-10-21,1,11.631966,11.631966
309,2016-03-25,2016-03-25,1,15.607834,15.607834
310,2016-05-06,2016-05-06,1,11.789322,11.789322
311,2016-05-24,2016-05-24,1,17.815113,17.815113
312,2016-06-16,2016-06-17,2,24.987698,12.793541
313,2016-06-25,2016-06-25,1,14.990807,14.990807
314,2016-06-27,2016-06-27,1,21.8544,21.8544
315,2016-07-10,2016-07-10,1,13.38625,13.38625
316,2016-07-14,2016-07-14,1,17.528057,17.528057
317,2016-07-20,2016-07-20,1,22.992134,22.992134
318,2016-07-24,2016-07-24,1,13.473511,13.473511
319,2016-07-26,2016-07-26,1,21.567345,21.567345
320,2016-08-12,2016-08-12,1,20.550728,20.550728
321,2016-08-17,2016-08-17,1,33.957005,33.957005
322,2016-08-21,2016-08-21,1,21.406174,21.406174
323,2016-08-27,2016-08-28,2,48.897265,32.7816
324,2016-08-30,2016-08-30,1,17.151833,17.151833
325,2016-09-14,2016-09-15,2,33.511162,21.942616
326,2016-09-25,2016-09-25,1,14.587879,14.587879
327,2017-05-20,2017-05-20,1,12.609005,12.609005
328,2017-06-15,2017-06-15,1,13.855457,13.855457
329,2017-06-20,2017-06-20,1,25.444508,25.444508
330,2017-06-25,2017-06-26,2,34.841061,19.145489
331,2017-07-23,2017-07-23,1,11.112213,11.112213
332,2017-07-29,2017-07-29,1,11.681557,11.681557
333,2017-08-01,2017-08-01,1,12.754917,12.754917
334,2017-08-15,2017-08-15,1,23.98777,23.98777
335,2017-08-18,2017-08-18,1,23.787498,23.787498
336,2017-09-04,2017-09-04,1,12.143135,12.143135
337,2017-09-07,2017-09-07,1,12.39109,12.39109
338,2017-09-17,2017-09-17,1,19.525528,19.525528
339,2017-09-22,2017-09-22,1,27.908325,27.908325
340,2018-02-24,2018-02-24,1,12.035847,12.035847
341,2018-05-10,2018-05-10,1,29.28114,29.28114
342,2018-06-18,2018-06-19,2,34.349918,18.193245
343,2018-06-21,2018-06-21,1,22.136211,22.136211
344,2018-06-24,2018-06-24,1,13.707161,13.707161
